"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YNCE0024W",-3.07585846011362,8.27431261059662,70.3995488392992,7.55771741807137e-07,2.35091455775539e-05,NA
"YOL058W",-1.67891578486896,4.53743242393447,70.0480154880278,7.78656648724886e-07,2.39233762109483e-05,"ARG1"
"YAL060W",2.14942220201662,4.18756248969409,70.0124806171308,7.81146576373991e-07,2.39233762109483e-05,"BDH1"
"YMR169C",1.76162261781674,3.15705665190728,69.9732254033298,7.84289410125714e-07,2.39233762109483e-05,"ALD3"
"YNL302C",-1.55731415825373,3.87734922076651,69.9350014645068,7.86274756933107e-07,2.39233762109483e-05,"RPS19B"
"YPL018W",1.67153793275355,2.45969538091962,69.5024509122336,8.18506305354304e-07,2.47576962067318e-05,"CTF19"
"YCR098C",-1.87365377937932,2.90713923014191,69.4537337443061,8.23219354182225e-07,2.47576962067318e-05,"GIT1"
"YLR178C",1.7480496468273,5.21080368345738,69.3393323399608,8.27035110354187e-07,2.47576962067318e-05,"TFS1"
"YJR155W",-2.41005717225844,3.93995469342645,68.6570861474642,8.78359167260545e-07,2.61534964882712e-05,"AAD10"
"YPL135W",-1.47659240920384,4.54471263895268,68.4226863284514,8.94730281078534e-07,2.64992457715174e-05,"ISU1"
"YIL162W",-1.94097267003886,2.07060439363949,68.3058930966561,9.06563707266428e-07,2.67076546140713e-05,"SUC2"
"YLR164W",2.913637289606,1.61989260159225,68.160435612076,9.33476266707846e-07,2.73557676475226e-05,"SHH4"
"YLR466W",2.12645335135176,2.56369977331673,67.2147606214259,9.9615148937169e-07,2.90396413236732e-05,"YRF1-4"
"YPL054W",1.93028942820915,2.12104804578978,67.0437033372214,1.0123648762895e-06,2.93585814123954e-05,"LEE1"
"YDR032C",-1.58655826212079,3.9897095374484,66.6799502791392,1.04186666087071e-06,3.00575832524774e-05,"PST2"
"YGR248W",2.15088057566851,3.28479390927261,65.8954420718307,1.11872428742068e-06,3.21085403729813e-05,"SOL4"
"YGR142W",-3.99496391965085,7.03495173767641,65.626337988742,1.14416421231301e-06,3.26702888931223e-05,"BTN2"
