"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YOR065W",-1.92402494642538,5.16315003026247,62.8630030421309,1.4710983516807e-06,4.55059756786562e-05,"CYT1"
"YCL025C",2.58085597735481,5.17585054924801,62.7317783416068,1.48935910527443e-06,4.58163066197127e-05,"AGP1"
"YJL020C",-2.07121191669253,4.51606945910857,62.3589492155116,1.54181342796599e-06,4.71693250929375e-05,"BBC1"
"YKL001C",-1.76098544315688,3.4395236466872,62.3164992009712,1.55043790040048e-06,4.71739793957916e-05,"MET14"
"YNL069C",1.58129746045772,4.20405821835906,61.9116824770182,1.60779179259524e-06,4.86531777237517e-05,"RPL16B"
"YDR461W",-1.94357425297697,1.22464351036168,61.7597230563526,1.64925073435058e-06,4.96379896695353e-05,"MFA1"
"YHR138C",-1.50528870134838,4.38912169882541,61.5802692961364,1.6586161369276e-06,4.9651476615123e-05,NA
"YDR033W",1.79570030783877,6.06892139045132,61.4464209514145,1.6794260168805e-06,5.00055832192011e-05,"MRH1"
"YLR190W",-1.6488634778701,2.82032120761156,61.1386291006487,1.7316300533974e-06,5.12857241346635e-05,"MMR1"
"YDR527W",-1.88151657853497,3.26493891741031,60.8946395751881,1.77086705646215e-06,5.21703056633928e-05,"RBA50"
"YFL050C",1.87885446050241,2.51744052339479,60.8282204416044,1.78722451651191e-06,5.23750847786227e-05,"ALR2"
"YHR027C",-1.3255554085335,5.51431924080003,59.9309077400103,1.94076301993373e-06,5.65767984030944e-05,"RPN1"
"YNCJ0028C",-1.70778179144206,1.72759584599973,59.7048994546409,1.99902720598743e-06,5.79717889736354e-05,NA
"YNR014W",-1.93458898383308,1.4920803608142,59.4786323135722,2.04133281456729e-06,5.86387889839797e-05,NA
"YOR315W",-2.67038578953804,0.323019772947289,59.8816665648695,2.04308998974354e-06,5.86387889839797e-05,"SFG1"
"YGL114W",2.09084851147188,3.14284631369471,59.0571240803596,2.11455993468625e-06,6.0378819058118e-05,NA
"YOR350C",1.74974590339144,2.94511890720298,58.881027642453,2.15155758667505e-06,6.11217991969729e-05,"MNE1"
"YCL012C",-1.76193766126311,1.83006320082776,58.6553751979319,2.20584383747926e-06,6.22554472145188e-05,NA
"YML128C",-1.44693752677788,4.51317008415545,58.5499933991176,2.22040202894563e-06,6.22554472145188e-05,"MSC1"
"YFL015C",-2.97220656654402,0.2603159510439,58.753760472966,2.22500610554764e-06,6.22554472145188e-05,NA
